DATE,TIME,HPCP
19951007,0:00,0.03
19951007,10:00,0.01
19951007,14:00,0.09
19951007,15:00,0.16
19951011,0:00,0.01
19951011,3:00,0.04
19951014,13:00,0.04
19951014,20:00,0.01
19951014,23:00,0.48
19951015,0:00,0.43
19951015,1:00,0.06
19951015,2:00,0.02
19951015,3:00,0.07
19951015,4:00,0.03
19951015,5:00,0.11
19951015,6:00,0.13
19951021,2:00,0.11
19951021,3:00,0.02
19951021,4:00,0.1
19951021,5:00,0.09
19951021,6:00,0.49
19951021,7:00,0.39
19951021,8:00,0.19
19951021,9:00,0.11
19951021,10:00,0.01
19951028,3:00,0.2
19951028,4:00,0.04
19951101,1:00,0
19951101,8:00,0.01
19951101,10:00,0.02
19951101,13:00,0.04
19951101,14:00,0.06
19951101,21:00,0.06
19951101,22:00,0.02
19951101,23:00,0.01
19951102,0:00,0.01
19951102,17:00,0.05
19951102,18:00,0.01
19951103,22:00,0.07
19951103,23:00,0.31
19951104,0:00,0.09
19951104,1:00,0.08
19951107,8:00,0.03
19951107,9:00,0.04
19951107,10:00,0.04
19951107,11:00,0.05
19951107,12:00,0.08
19951107,13:00,0.05
19951107,14:00,0.02
19951107,15:00,0.05
19951107,16:00,0.12
19951107,17:00,0.17
19951107,18:00,0.1
19951107,19:00,0.01
19951111,16:00,0.07
19951111,17:00,0.15
19951111,18:00,0.14
19951111,19:00,0.01
19951111,20:00,0.01
19951111,22:00,0.32
19951111,23:00,0.02
19951112,0:00,0.01
19951112,1:00,0.01
19951112,2:00,0.01
19951113,23:00,0.01
19951114,0:00,0.03
19951114,1:00,0.04
19951114,2:00,0.02
19951114,3:00,0.02
19951114,4:00,0.1
19951114,5:00,0.04
19951114,6:00,0.01
19951114,7:00,0.04
19951114,8:00,0.08
19951114,9:00,0.08
19951114,10:00,0.01
19951114,12:00,0.01
19951114,13:00,0.02
19951114,17:00,0.01
19951125,1:00,0.01
19951125,2:00,0.01
19951129,13:00,0.02
19951129,14:00,0.01
19951129,15:00,0.01
19951129,16:00,0.01
19951201,1:00,0
19951204,10:00,0.01
19951206,1:00,0.02
19951207,6:00,0.01
19951207,7:00,0.01
19951207,8:00,0.07
19951207,9:00,0.11
19951207,10:00,0.12
19951207,11:00,0.04
19951207,12:00,0.02
19951209,5:00,0.02
19951209,6:00,0.11
19951209,7:00,0.14
19951209,8:00,0.24
19951209,9:00,0.08
19951216,6:00,0.08
19951216,9:00,0.03
19951216,10:00,0.02
19951216,11:00,0.03
19951218,18:00,0.01
19951218,23:00,0.01
19951219,0:00,0.03
19951219,1:00,0.01
19951219,2:00,0.02
19951219,3:00,0.03
19951219,4:00,0.03
19951219,5:00,0.32
19951219,6:00,0.03
19951219,8:00,0.01
19951219,9:00,0.05
19951219,11:00,0.04
19951219,12:00,0.02
19951219,14:00,0.02
19951219,17:00,0.02
19951219,20:00,0.01
19951220,3:00,0.01
19951231,12:00,0.01
19951231,13:00,0.01
19951231,23:00,0.01
19960101,1:00,0
19960101,3:00,0.01
19960101,6:00,0.01
19960101,13:00,0.01
19960101,14:00,0.02
19960101,16:00,0.05
19960101,17:00,0.01
19960102,21:00,0.01
19960102,22:00,0.07
19960102,23:00,0.01
19960103,2:00,0.04
19960103,22:00,0.01
19960103,23:00,0.02
19960106,21:00,0.07
19960107,0:00,0.06
19960107,1:00,0.01
19960107,3:00,0.12
19960107,6:00,0.43
19960107,7:00,0.06
19960107,8:00,0.05
19960107,9:00,0.06
19960107,10:00,0.08
19960107,11:00,0.1
19960107,12:00,0.2
19960107,13:00,0.15
19960107,14:00,0.03
19960107,15:00,0.01
19960107,16:00,0.04
19960107,17:00,0.04
19960108,8:00,0.01
19960108,9:00,0.01
19960108,10:00,0.01
19960108,11:00,0.01
19960108,12:00,0.01
19960108,13:00,0.01
19960108,14:00,0.01
19960112,2:00,0.01
19960112,3:00,0.03
19960112,4:00,0.05
19960112,5:00,0.15
19960112,6:00,0.27
19960112,7:00,0.37
19960112,8:00,0.01
19960116,15:00,0.02
19960116,16:00,0.03
19960118,11:00,0.01
19960118,19:00,0.02
19960118,20:00,0.03
19960118,21:00,0.01
19960119,0:00,0.01
19960119,5:00,0.01
19960119,6:00,0.07
19960119,7:00,0.13
19960119,8:00,0.07
19960119,12:00,0.14
19960119,13:00,0.77
